codice locale; citta'; nome locale; indirizzo; telefono
696627; ; ALIBI BAR; ; 
281050; ; BAR PIAZZETTA; ; 
113086; ; BAR PROSIT; ; 
872087; ; CAFFETTERIA ITALIANA; ; 
805192; APRICENA; AMICI DI ROCCO; VIA LENTELLA 63; 3204090564
936080; APRICENA; ANTICA CAFFETTERIA DI FAIELLA GIOVANNI; PIAZZA REPUBBLICA 2/4; 3806354117
792870; APRICENA; BAR DELLO STUDENTE di ALESSANDRO LUCIANO; VIA G. D'ELIA  22; 3479683437
869720; CAGNANO VARANO; BAR IL XVIII di BLAJ EVDOCHIA; VIA MONTEGRAPPA 55; 3495801913
357542; CARPINO; EUROBAR di DE BERGOLIS FRANCESCO; CORSO VITTORIO EMANUELE 02; 3496874034
709228; FOGGIA; GRAFOR S.A.S. DI GRAMAZIO DOMENICO; STRADA STATALE 673 KM 8 + 248; 3890477600
166124; FOGGIA; SALA GIOCHI BREDIGE; VIA PIAVE, 57 A; 3293668363
199135; FOGGIA; SALA GIOCHI CAMPANILE; VIA GUIDO D'ORSO, 13; 3280082480
852357; FOGGIA; TIERRA CAFFE' DI CARNEVALE ALESSANDRO; VIALE COLOMBO, 134; 3495934631
219596; LESINA; ABCD PLANET SRL; PIAZZA UMBERTO, 12; 0882991065
760570; LESINA; DI NAUTA VINCENZO; VICO CHIUSO C.DO VITTORIO EMANUELE  SNC; 3408670637
786048; LUCERA; GEMM CAFE' DI CORPOSANTO MARCELLO; VIALE RAFFAELLO 2; 3473329887
230503; LUCERA; TABACCHI COLAGROSSI LUCIA; PIAZZA REPUBBLICA 17; 3891185656
713150; MANFREDONIA; AGENZIA GOLBET ANTICHE MURA; ; 
124520; MANFREDONIA; BAR CARAIBI; VIA DELLA CROCE 31 A; 3397839163
795605; MANFREDONIA; BAR D'ERRICO MARIA SAVERIA; VIA GARGANO 63; 
843667; MANFREDONIA; BAR DELLA STAZIONE; VIALE ALDO MORO 64; 3495934631
565215; MANFREDONIA; BAR FANKY DI RICCARDI MASSIMO; VIA G. DI VITTORIO 297; 0884541826
193182; MANFREDONIA; BAR GIOVI'; VIA DEGLI IRIS 9; 3920009466
298049; MANFREDONIA; BAR L'ULTIMO di TELERA RITA; VIA GARGANO 156B; 3804319564
400894; MANFREDONIA; BAR SPORT di RICUCCI GIOVANNI; VIA GARGANO 41; 3273307476
279202; MANFREDONIA; BAYRON CAFFE'; ; 
580570; MANFREDONIA; BETTER MANFREDONIA BY CITY SLOT; VIA DELLA CROCE 1-B; 0884511899
458452; MANFREDONIA; CADILLAC SAS DI BALSAMO MICHELE & C; VIA SCALORIA 77; 3476688477
843472; MANFREDONIA; CAFFETTERIA AL PONTE; VIA delle More 9/10; 3462156285
336012; MANFREDONIA; CASSANO ALESSIO; VIA SCALORIA  74; 3494461924
684839; MANFREDONIA; CITY SLOT; PIAZZA SALVO D'ACQUISTO; 0884584383
914519; MANFREDONIA; CLUB BEVERLY HILLS DI NENNA MATTEO; VIA DEI LECCI 6; 3471776250
396911; MANFREDONIA; CLUB CIVILIS A.S.D. APOLLO 12; VIA TAVERNA 8; 3287513379
225702; MANFREDONIA; DI FIORE ANGELO MIRKO - TOTAL ERG; VIA G.DI VITTORIO 217; 3407286804
867890; MANFREDONIA; EUROBET - BAR SWEET POINT SAS DI ALBOREA; VIA DI VAGNO GIUSEPPE 1; 3462161225
658656; MANFREDONIA; GOLBET - VITA BET; VIA GIUSEPPE DIVITTORIO, 293; 3463026317
162775; MANFREDONIA; GOLBET-IRIS BET; VIA SCALORIA, 180; 3356463861
814090; MANFREDONIA; HAPPY DAYS CAFE' SAS DI ARMIENTO MICHELE; VIA BARLETTA 3; 3665230633
514787; MANFREDONIA; JAZZ BAR SRLS; CONTRADA GARZIA S.P. 58  KM 4; 3491907569
635791; MANFREDONIA; LAST CAFE' SNC; VIA SAN FRANCESCO 153; 3395896365
